streetAddress,addressLocality,addressRegion,postalCode,addressCountry,latitude,longitude
163 Harwood Ave N.,Ajax,ON,L1Z 0A1,CA,43.8670422,-79.0247397
400 Sandwich St South,Amherstburg,ON,N9V 3L4,CA,42.09741,-83.10814
B2-1110 Wilson Street W. RR1,Ancaster,ON,L9G 3K9,CA,43.1968684,-80.0163169
15340 Bayview Avenue,Aurora,ON,L4G 7J1,CA,44.0078246575343,-79.4444417808219
320 Yonge Street,Barrie,ON,L4N 4C8,CA,44.3700857142857,-79.6690985714286
11-366 North Front St.,Belleville,ON,K8P 5E6,CA,44.1702431818182,-77.3872595454546
471 Queen Street S.,Bolton,ON,L7E 2B5,CA,43.8722244,-79.7253523
2324 Highway 2 Unit B0001,Bowmanville,ON,L1C 3K7,CA,43.9094406676064,-78.7149286788838
32 Depot Drive Units 1 & 2,Bracebridge,ON,P1L 0A1,CA,45.0477821,-79.2909339
1 Bartley Bull Parkway,Brampton,ON,L6W 3T7,CA,43.66767,-79.73528
82B King George Road .,Brantford,ON,N3R 5K4,CA,43.1660866666667,-80.2750966666667
E-2015 Parkedale Ave,Brockville,ON,K6V 0B4,CA,44.611302,-75.6867674
3230 Fairview Street,Burlington,ON,L7N 3M9,CA,43.35219,-79.79
11-480 Hespeler Rd,Cambridge,ON,N1R 7R9,CA,43.3740316962253,-80.3186323001797
25 Landsdowne Avenue,Carleton Place,ON,K7C 3S9,CA,45.14663,-76.14595
448 St. Clair St.,Chatham,ON,N7L 3K5,CA,42.41677,-82.20213
Unit G2 - 66 Strathy Road,Cobourg,ON,K9A 5X4,CA,43.9747846188625,-78.198886406334
4 High Street,Collingwood,ON,L9Y 3J6,CA,44.50009,-80.23422
424 Ninth Street W Unit C1,Cornwall,ON,K6J 0B3,CA,45.06209,-74.76608
Unit #5-18126 Yonge Street,East Gwillimbury,ON,L9N 0J3,CA,44.0692535,-79.4885102
690 Taunton Road Building B,East Whitby,ON,L1R 2K4,CA,43.9217563528371,-78.9283253180843
61 Talbot St. North,Essex,ON,N8M 1A2,CA,42.175205,-82.822615
2291 Kipling Avenue,Etobicoke,ON,M9W 4L6,CA,43.7294477777778,-79.5753111111111
193 Main St. South,Exeter,ON,N0M 1S1,CA,43.3513859375,-81.4814196875
49 Main St E,Grand Bend,ON,N0M 1T0,CA,43.310691,-81.7524235
161 Silvercreek Pkwy N,Guelph,ON,N1H 3T2,CA,43.5409392857143,-80.2817671428571
102-640 Queenston Road,Hamilton,ON,L8K 1K2,CA,43.2359375,-79.79922
"101-2180 Rymal Rd, East RR1",Hannon,ON,L0R 1P0,CA,43.19027,-79.84358
400 Spence Street,Hawkesbury,ON,K6A 2Y3,CA,45.5986566666667,-74.6116966666667
Unit 120-111 Howland Dr.,Huntsville,ON,P1H 2P6,CA,45.3359884,-79.2325584
354 Government St East,Kapuskasing,ON,P5N 2X7,CA,49.3995710381591,-82.3769178767087
2970 County Rd 43,Kemptville,ON,K0G 1J0,CA,45.00355,-76.46254
122 Princess St.,Kingston,ON,K7L 1A7,CA,44.23166375,-76.48327125
700 Strasburg Rd,Kitchener,ON,N2E 2M2,CA,43.4148333333333,-80.4787766666667
5862 Malden Road,LaSalle,ON,N9H 1S4,CA,42.2477423076923,-83.0607484615385
288 Erie St South,Leamington,ON,N8H 3C5,CA,42.03658,-82.60093
1175 Hyde Park Rd,London,ON,N6H5K5,CA,42.9883041444404,-81.3269366343098
560 Copper Creek Drive,Markham,ON,L6B 0S1,CA,43.8689646651735,-79.2129378554576
2-16825 Highway 12,Midland,ON,L4R 4K3,CA,44.74908,-79.88268
1224 Dundas St E,Mississauga,ON,L4Y 2C5,CA,43.6061033,-79.5874693
1460 Merivale Rd,Nepean,ON,K2E 5P2,CA,45.3621088281692,-75.7337796693791
10-6161 Thorold Stone Rd,Niagara Falls,ON,L2J 1A4,CA,43.11518,-79.10293
850 McKeown Avenue,North Bay,ON,P1B 8M1,CA,46.3325415130661,-79.4735143493911
2 Bradstock Rd,North York,ON,M9M 1M8,CA,43.73897,-79.53948
Unit 5-280 Broadway Ave,Orangeville,ON,L9W 1L1,CA,43.9217,-80.0846301662963
1B-3210 Monarch Drive,Orillia,ON,L3V 8A2,CA,44.6098749,-79.4535618
Unit 8 - 3722 Innes Road,Orleans,ON,K1W 0C8,CA,45.43988,-75.54122
"C1-1445 Harmony Rd, RR2",Oshawa,ON,L1H 7K5,CA,43.9434033,-78.8441189
1750 Innes Road,Ottawa,ON,K1B 3K5,CA,45.416943902439,-75.6012068292683
Unit 2  2950 Bank Street,Ottawa (Gloucester),ON,K1T 1N8,CA,45.42379,-75.60041
"2125 16 St. East, Unit D",Owen Sound,ON,N4K 0E2,CA,44.5766641395434,-80.8997548332625
19 Pine Drive,Parry Sound,ON,P2A 3B7,CA,45.3440321,-80.009399
898 Monaghan Rd.,Peterborough,ON,K9J 5K4,CA,44.2856,-78.32956
1755 Pickering Parkway,Pickering,ON,L1V 6K5,CA,43.84316,-79.06844
260 Goderich St.,Port Elgin,ON,N0H 2C1,CA,44.4273577966102,-81.395843220339
1894 Scugog St. Hwy 7A,Port Perry,ON,L9L 1H7,CA,44.10155,-78.9371225
2756 Chamberland Street Unit 2,Rockland,ON,K4K 0B2,CA,45.5440913357628,-75.3018212585169
5-1379 London Rd.,Sarnia,ON,N7S 1P6,CA,42.97806,-82.37584
44 Great Northern Rd.,Sault Sainte Marie,ON,P6B 4Y5,CA,46.5246533333333,-84.31947
625 Trunk Rd #10,Sault Ste Marie,ON,P6A 3T1,CA,46.5186175,-84.2798447
2644 Eglinton Avenue East,Scarborough,ON,M1K 2S3,CA,43.70107,-79.24699
154 Queensway Dr. East,Simcoe,ON,N3Y 0A8,CA,42.8488261538462,-80.2893146153846
L3-420 Vansickle Rd. RR3,St. Catharines,ON,L2R 6P9,CA,43.1517211,-79.2692157
#1-5703 Hazeldean Rd.,Stittsville,ON,K2S 0P6,CA,45.26463,-75.9423
"425 Caradoc St. South,",Strathroy,ON,N7G 2P5,CA,42.9470654794521,-81.6128139726027
K3 74-1063 Talbot St,St Thomas,ON,N5P 1G4,CA,42.7787918387919,-81.2085545759949
1399 Marcus Dr.,Sudbury,ON,P3B 4K6,CA,46.5011406,-80.9431851
200 Broadway St,Tillsonburg,ON,N4G 5A7,CA,42.86217,-80.72937
1869 Riverside Drive,Timmins,ON,P4R 1N3,CA,48.47252,-81.39333
2340 Eglinton Ave West,Toronto,ON,M6M 1S6,CA,43.61729,-79.56352
90 Dundas St West,Trenton,ON,K8V 3P3,CA,44.1004255555556,-77.5772019444444
3140 Highway 69 North,Val Caron,ON,P3N 1G4,CA,46.6140311,-81.0059339
60 McNaughton Unit 68- 1&2,Wallaceburg,ON,N8A 1R9,CA,42.5854654,-82.384783
1-25 Stonebridge Blvd.,Wasaga Beach,ON,L9Z 0C1,CA,44.52313,-80.00784
100 Dundas Street East,Waterdown,ON,L0R 2H2,CA,43.31868,-79.91007
585 Weber Street N.,Waterloo,ON,N2V 1V8,CA,43.4966,-80.54986
23-200 Fitch Street,Welland,ON,L3C 4V9,CA,42.9948048780488,-79.2548493902439
19 Amy Croft Dr,Windsor,ON,N9K 1C7,CA,42.307192954363,-82.8681545315897
109-200 Windflower Gate,Woodbridge,ON,L4L 9L3,CA,43.7905558560024,-79.5520263717226
